"ID","Session Type","Session Title","Status"
"7u1llr0bsa","Talk","Haptics with Open Source: From Vision to Touch","Rejected"
"99oasc5s6d","Talk","Entering into a world of FPGAs with 4$ fully open source shrike-lite and shrikeFi","Rejected"
"6bksgp8og1","Talk","Edge AI in KMP: Running Models Locally Across Platforms","Rejected"
"a582ja3ci9","Lightning Talk","How I Built a Container Runtime from Scratch using Linux Primitives","Rejected"
"c106jtbghf","Talk","KWS: how I built a self-hostable cloud platform?","Rejected"
"27911kd8lt","Lightning Talk","From “is it up?” to alerts in minutes: MCP on Prometheus + Grafana","Rejected"
"5j1ek2p56j","Talk","Kimchi: Building an Open-Source Multi-Model Coding Agent from Scratch","Rejected"
"13c5qf2b95","Talk","eSim: An Open Source EDA with a vision of Simulation to GDS II","Rejected"
"djsc93s3tb","Workshop","How did we write an Operating System from scratch? Learn & experience XenevaOS","Rejected"
"65csphmuup","Talk","Sentry Wrote Its Own License. Is ""Fair Source"" Actually Fair to You?","Rejected"
"73oc33rebt","Talk","Docker Desktop Wants a Subscription. Your Workflow Doesn't Have to Pay for It","Rejected"
"c0m2gkp79g","Talk","Your Cache Isn't Free Anymore : Here's Who Forked Redis Before You Even Noticed","Rejected"
"0e2m3vjh4n","Talk","Everyone’s Hyped About AI Agents: Nobody talks about making them Reliable & Self Evolving!","Rejected"
"cch27esad5","Workshop","Mastering Firmware Testing with Renode: From Unit Testing to CI/CD with Code Coverage","Rejected"
"5iefiu6dr0","Talk","Treat Every MCP Server as Untrusted: Building agent-airlock for Production Agents","Rejected"
"f2mgv67r7v","Lightning Talk","Beyond Argo CD and Flux: Progressive Delivery with PipeCD","Rejected"
"6ju4ubi1vq","Lightning Talk","The Day Two Shift: Evolving Infrastructure Automation for Modern Networks","Rejected"
"cgfnrih34b","Talk","Chips, Dips, and Dependencies: Securing the Software Supply Chain with GraphQL","Rejected"
"ckfg1osvdo","Talk","Building an Open Source, End-to-End Encrypted Social Feed for Friends","Rejected"
"9883nhqf9n","Talk","From Pentium to Production: Building a Datacenter at Home with Proxmox","Rejected"
"atldekksaj","Talk","The United Nations Open Source Software Running at International Borders That Nobody Knows About","Rejected"
"bm7e9gvvrq","Talk","JavaScript Is Collecting Capabilities Faster Than We Can Update Tutorials","Rejected"
"58e6cl2c3t","Lightning Talk","Nurturing sustainable FOSS communities","Rejected"
"6bdegked6b","Talk","KubeVirtBMC: Bridging Bare-metal Provisioning Tools and KubeVirt Virtual Machines","Rejected"
"9jqjmdrjdd","Workshop","Using AI with K3s and Kubectl ","Rejected"
"3ld5bmlafl","Talk","Dead Container Walking: Post-Incident Analysis When Your Workload Is Already Gone","Rejected"
"et9md3htfc","Lightning Talk","The $500/Month Monitoring Problem: Open-Source Solutions That Actually Work","Rejected"
"am0kfhmdfi","Talk","Open Source is Solving a Problem We Ignore","Rejected"
"936q4ik68j","Lightning Talk","ScalePilot: Predictive, Cost-Aware Kubernetes Autoscaling","Rejected"
"22h0vcu3j6","Talk","OpenSource Models as a Case Study for Alignment","Rejected"
"c7l5ienu6f","Talk","SoberAI: A Lighthouse-Style Audit Tool for AI Agents — Building It, Open-Sourcing It, Learning From It","Rejected"
"526g779stp","Talk","OpenTelemetry Without the Overwhelm: A FOSS Observability Primer","Rejected"
"e4ouog1uml","Talk","Is Your Multi-Agent System burning your wallet ? - Designing for Predictable Spend at Scale","Rejected"
"f9rb66sidg","Talk","Developing x-Apps for Cellular O-RAN Networks","Rejected"
"fl79e0ade5","Workshop","Building Agentic AI Systems with Small Language Models","Rejected"
"712o3k7u2h","Talk","React Native Under the Hood","Rejected"
"fuv5gps2hb","Lightning Talk","From Raw Maps to Real Impact: Building with Open Data in India (Without Losing Your Mind)","Rejected"
"1a8iqehuil","Workshop","Improving SDLC using opencode coding agent","Rejected"
"1ebsjdljn1","Talk","Beyond Linux: The Power of FreeBSD","Rejected"
"cv258poa2q","Talk","Ship Icons Smarter: Automating Icon Fonts for Frontend Apps","Rejected"
